"productid","transdate","customerid","age","residence","prodclass","amount","asset","salesprice","prodclass2"
"4710088410139","2000-11-01 00:00:00",46855,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",71284,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",151153,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",190138,"F ","E ",110401,3,129,117,110401
"4710088410139","2000-11-01 00:00:00",230483,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",349857,"H ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",539494,"G ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",760225,"C ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",841771,"E ","E ",110401,3,129,117,110401
"4710088410139","2000-11-01 00:00:00",861021,"I ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",911955,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",955188,"F ","E ",110401,6,258,234,110401
"4710088410139","2000-11-01 00:00:00",1004373,"E ","E ",110401,12,516,508,110401
"4710088410139","2000-11-01 00:00:00",1104905,"F ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",1327205,"E ","F ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",1359015,"D ","F ",110401,6,258,234,110401
"4710088410139","2000-11-01 00:00:00",1442885,"F ","E ",110401,2,86,78,110401
"4710088410139","2000-11-01 00:00:00",1790184,"D ","G ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",1830439,"J ","F ",110401,2,86,78,110401
"4710088410139","2000-11-01 00:00:00",1981995,"G ","E ",110401,6,258,234,110401
"4710088410139","2000-11-01 00:00:00",2092065,"A ","E ",110401,1,43,39,110401
"4710088410139","2000-11-01 00:00:00",2154039,"A ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",20459,"E ","D ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",29421,"F ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",60172,"D ","E ",110401,6,258,234,110401
"4710088410139","2000-11-02 00:00:00",137027,"C ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",190138,"F ","E ",110401,3,129,126,110401
"4710088410139","2000-11-02 00:00:00",196765,"H ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",304153,"G ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",322867,"E ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",333122,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",347877,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",385329,"D ","C ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",426282,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",436083,"J ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",535021,"D ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",542395,"H ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",570565,"C ","H ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",679701,"E ","G ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",689311,"B ","H ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",828222,"E ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",838054,"I ","E ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",838061,"D ","E ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",843263,"J ","H ",110401,2,86,79,110401
"4710088410139","2000-11-02 00:00:00",889667,"B ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",898713,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",899734,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",975186,"D ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",981927,"F ","G ",110401,6,258,234,110401
"4710088410139","2000-11-02 00:00:00",983105,"F ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",993869,"C ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1066197,"G ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1066401,"G ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1068610,"D ","C ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1082180,"F ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1095708,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1117042,"G ","E ",110401,2,86,79,110401
"4710088410139","2000-11-02 00:00:00",1135121,"D ","F ",110401,3,129,117,110401
"4710088410139","2000-11-02 00:00:00",1182507,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1188516,"G ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1211559,"D ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1227048,"D ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1276725,"F ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1289053,"E ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1380934,"I ","A ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1401752,"A ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1447507,"B ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1510638,"I ","E ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1551402,"C ","C ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1557824,"E ","C ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1589641,"B ","E ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1591514,"D ","E ",110401,3,129,117,110401
"4710088410139","2000-11-02 00:00:00",1592221,"C ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1596984,"D ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1617894,"C ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1624304,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1634501,"B ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1641769,"E ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1652796,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1671896,"C ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1691856,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1711042,"B ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1726480,"B ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1730913,"E ","E ",110401,3,129,117,110401
"4710088410139","2000-11-02 00:00:00",1766288,"D ","E ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1772500,"J ","C ",110401,3,129,117,110401
"4710088410139","2000-11-02 00:00:00",1783872,"F ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1798272,"C ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1810875,"D ","H ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1845747,"K ","H ",110401,6,258,234,110401
"4710088410139","2000-11-02 00:00:00",1846560,"K ","H ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1848359,"K ","H ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1848519,"K ","H ",110401,3,129,117,110401
"4710088410139","2000-11-02 00:00:00",1873726,"D ","E ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1878561,"D ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1879117,"D ","F ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",1941319,"C ","F ",110401,1,43,39,110401
"4710088410139","2000-11-02 00:00:00",1996487,"A ","G ",110401,2,86,78,110401
"4710088410139","2000-11-02 00:00:00",2033990,"H ","F ",110401,1,43,39,110401
